day,date,rac_marginalised,mean_infectivity_marginalised,rac_plain,mean_infectivity_plain,rac_marginalised_reseeded,mean_infectivity_marginalised_reseeded,latent_was_rebuilt
82,2018-06-26,0.32081872528358824,0.0,0.3229269167450388,0.0,0.3214437954051137,0.0,False
83,2018-06-27,0.28763449331526947,0.0,0.28960828944362504,0.0,0.28817854632549067,0.0,False
84,2018-06-28,0.25688112644778405,0.0,0.25870691448463956,0.0,0.25734377884075943,0.0,False
85,2018-06-29,0.228587304688594,0.0,0.23025836291582535,0.0,0.2289719990498813,0.0,False
86,2018-06-30,0.20272922735390575,0.0,0.20424452763936318,0.0,0.20304208885537944,0.0,False
87,2018-07-01,0.17924064003425655,0.0,0.18060361268401814,0.0,0.17948942822933922,0.0,False
88,2018-07-02,0.15802251710834414,0.0,0.15923987938285267,0.0,0.1582157448760272,0.0,False
89,2018-07-03,0.13895197222002909,0.0,0.14003268628923105,0.0,0.13909822256971593,0.0,False
90,2018-07-04,0.12189013386447323,0.0,0.122844528626457,0.0,0.1219975738932223,0.0,False
91,2018-07-05,0.10668885880350854,0.0,0.10752792527966948,0.0,0.1067649296047668,0.0,False
92,2018-07-06,0.09319626015932547,0.0,0.0939311128012762,0.0,0.09324751086572136,0.0,False
93,2018-07-07,0.08126110132392528,0.0,0.08190258696289632,0.0,0.0812931324774342,0.0,False
94,2018-07-08,0.07073615508614939,0.0,0.07129458615433715,0.0,0.07075363861426898,0.0,False
95,2018-07-09,0.06148065441715633,0.0,0.061965641964086604,0.0,0.06148740237396921,0.0,False
96,2018-07-10,0.05336197211751781,0.0,0.05378233561103074,0.0,0.053361032287269405,0.0,False
97,2018-07-11,0.04625666559609476,0.0,0.04662039937400275,0.0,0.04625042790632983,0.0,False
98,2018-07-12,0.04005101435541414,0.0,0.04036529403032407,0.0,0.04004131716537229,0.0,False
99,2018-07-13,0.03464116447239318,0.0,0.0349123800316371,0.0,0.034629393923142016,0.0,False
100,2018-07-14,0.02993297889984603,0.0,0.03016678436470055,0.0,0.029920157610755838,0.0,False
101,2018-07-15,0.02584167649927327,0.0,0.02604304866396967,0.0,0.025828540080528928,0.0,False
102,2018-07-16,0.022291327496692492,0.0,0.022464628421741684,0.0,0.022278388786883596,0.0,False
103,2018-07-17,0.019214259220404428,0.0,0.019363298835717635,0.0,0.01920186102842336,0.0,False
104,2018-07-18,0.016550413879754422,0.0,0.016678510322594042,0.0,0.01653877147096683,0.0,False
105,2018-07-19,0.01424668988279676,0.0,0.014356726126317665,0.0,0.014235924632192365,0.0,False
106,2018-07-20,0.012256289715454338,0.0,0.01235076570636029,0.0,0.012246455356419772,0.0,False
107,2018-07-21,0.010538090567375091,0.0,0.010619170548882395,0.0,0.010529193367479595,0.0,False
108,2018-07-22,0.009056048494308522,0.0,0.009125603495514611,0.0,0.009048062539950608,0.0,False
109,2018-07-23,0.007778642740826736,0.0,0.007838288407550853,0.0,0.007771521344074772,0.0,False
110,2018-07-24,0.006675047025604508,0.0,0.006726186243040777,0.0,0.00666873754371855,0.0,False
