distribution,lag,probability
implied_serial_interval,153,1.595460818705343e-11
implied_serial_interval,154,1.313737629793755e-11
implied_serial_interval,155,1.0816974732759294e-11
implied_serial_interval,156,8.905828618793875e-12
implied_serial_interval,157,7.331804232813458e-12
implied_serial_interval,158,6.035483319148869e-12
implied_serial_interval,159,4.967919553179161e-12
implied_serial_interval,160,4.088791590033433e-12
implied_serial_interval,161,3.3648823909899936e-12
implied_serial_interval,162,2.768827036571785e-12
implied_serial_interval,163,2.2780815106886873e-12
implied_serial_interval,164,1.874073378808975e-12
implied_serial_interval,165,1.541502215742599e-12
implied_serial_interval,166,1.26776333576096e-12
implied_serial_interval,167,1.0424730609887639e-12
implied_serial_interval,168,8.570776147608287e-13
implied_serial_interval,169,7.04530893688332e-13
implied_serial_interval,170,5.790289775059611e-13
implied_serial_interval,171,4.757913794497651e-13
implied_serial_interval,172,3.908808040839958e-13
implied_serial_interval,173,3.2105463159626806e-13
implied_serial_interval,174,2.636425430091321e-13
implied_serial_interval,175,2.164456850273864e-13
implied_serial_interval,176,1.7765358376216835e-13
implied_serial_interval,177,1.4577568409874893e-13
implied_serial_interval,178,1.195849412947045e-13
implied_serial_interval,179,9.807134431016485e-14
implied_serial_interval,180,8.04036234956244e-14
implied_serial_interval,181,6.589770267765257e-14
implied_serial_interval,182,5.3990708978928746e-14
implied_serial_interval,183,4.421956242712281e-14
implied_serial_interval,184,3.6203339402247595e-14
implied_serial_interval,185,2.962874571227791e-14
implied_serial_interval,186,2.4238151898798998e-14
implied_serial_interval,187,1.9819739645566392e-14
implied_serial_interval,188,1.6199387507179268e-14
implied_serial_interval,189,1.323398956994899e-14
implied_serial_interval,190,1.0805954555554286e-14
implied_serial_interval,191,8.81867730148926e-15
implied_serial_interval,192,7.192811166249493e-15
implied_serial_interval,193,5.863200084299753e-15
implied_serial_interval,194,4.776353867381431e-15
implied_serial_interval,195,3.888370847024989e-15
implied_serial_interval,196,3.1632288467260597e-15
implied_serial_interval,197,2.5713793945655117e-15
implied_serial_interval,198,2.0885915602441185e-15
implied_serial_interval,199,1.6950012549671446e-15
implied_serial_interval,200,1.3743296231483049e-15
implied_serial_interval,201,1.1132405739763893e-15
implied_serial_interval,202,9.0081278959658e-16
implied_serial_interval,203,7.281059037467088e-16
implied_serial_interval,204,5.878041339883788e-16
implied_serial_interval,205,4.739236072348135e-16
implied_serial_interval,206,3.8157205342497405e-16
implied_serial_interval,207,3.067515476896282e-16
implied_serial_interval,208,2.461966328363016e-16
implied_serial_interval,209,1.9724151378860158e-16
implied_serial_interval,210,1.5771113513364146e-16
implied_serial_interval,211,1.2583187450641843e-16
implied_serial_interval,212,1.0015834307092303e-16
implied_serial_interval,213,7.951340860345063e-17
implied_serial_interval,214,6.293907034169838e-17
implied_serial_interval,215,4.965623735947341e-17
implied_serial_interval,216,3.903180984815824e-17
implied_serial_interval,217,3.0551748585169244e-17
implied_serial_interval,218,2.3799052963302328e-17
implied_serial_interval,219,1.8435761234832512e-17
implied_serial_interval,220,4.7689494685812377e-17
